Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Jan-70,0.0141,-0.0021,0.003,0.006,-0.0313,-0.0087,-0.0484,0.0552,-0.0158,-0.0074,-0.006,0.0245,-0.0743,-0.0608
Feb-70,0.0401,0.0587,0.0439,0.0062,-0.0115,-0.0311,-0.0293,0.0707,0.0123,-0.0536,0.0009,0.0444,0.0558,0.0387
Mar-70,-0.0045,-0.0068,0.0087,0.0057,-0.0034,0.0126,0.0088,0.0406,0.0406,0.0245,0.008,0.0102,0.0044,-0.0285
Apr-70,-0.025,-0.0413,-0.0207,0.005,-0.112,-0.0736,-0.0462,0.0042,-0.1211,-0.1023,0.0156,-0.1143,-0.0875,-0.1728
May-70,-0.0163,-0.0468,0.011,0.0053,-0.0648,-0.0535,-0.0939,-0.0276,-0.0266,-0.0504,-0.0112,-0.095,-0.0578,-0.1031
Jun-70,0.0001,0.0486,0.0061,0.0058,0.1292,0.0117,-0.0369,0.0485,0.0183,0.045,0.0011,0.0503,-0.0466,-0.0929
Jul-70,0.0556,0.0319,0.0152,0.0052,0.0319,0.0474,0.0609,0.0725,0.0021,0.037,-0.0054,0.0716,0.0769,0.0554
Aug-70,0.01,-0.0019,0.0116,0.0053,-0.0078,0.0074,0.0117,0.0422,-0.0107,-0.0025,0.0142,0.0454,0.0478,0.0949
Sep-70,0.0139,0.0228,0.0196,0.0054,0.0013,0.0108,-0.0163,-0.0167,-0.0115,0.0583,0.0168,0.0652,0.0362,0.1086
Oct-70,-0.0096,-0.0109,0.0095,0.0046,-0.0917,-0.0053,-0.015,-0.0292,0.0129,-0.0025,0.0234,-0.0139,-0.0083,-0.0706
Nov-70,0.0584,0.0791,0.0451,0.0046,-0.049,-0.0459,-0.0363,0.0456,-0.0288,-0.0686,0.0078,0.0476,0.0506,0.0137
Dec-70,0.0372,-0.0084,0.0054,0.0042,0.0123,0.0233,-0.0301,0.075,0.008,0.0623,-0.0043,0.027,0.0597,0.0726
Jan-71,0.0532,0.0506,0.0168,0.0038,-0.0226,0.0424,0.1435,0.049,0.0548,0.0028,0.0179,0.033,0.0432,0.1592
Feb-71,-0.0366,-0.0163,0.0224,0.0033,-0.0187,0.0029,0.0426,-0.0486,0.046,-0.0184,0.0197,-0.0016,0.0117,0.0317
Mar-71,0.0258,0.0526,0.0186,0.003,0.0551,0.0327,0.0093,0.0063,0.0825,0.0859,0.0021,0.0442,0.0394,0.0564
Apr-71,-0.0236,-0.0283,-0.0327,0.0028,-0.0364,0.0413,-0.061,0.0778,0.0518,0.1107,0.0211,-0.0025,0.0389,0.0247
May-71,-0.0161,-0.0006,0.0011,0.0029,-0.0281,0.0275,0.0474,0.0826,-0.0071,0.0368,0.0287,-0.0272,-0.0391,-0.0605
